NHẬP HÀNG,AUTO,NHẬP HÀNG,,,,,,AUTO,NHẬP HÀNG,NHẬP HÀNG,AUTO,AUTO,AUTO,AUTO,,,,
Mã Đơn Đặt Hàng,TÊN SẢN PHẨM,LẦN GIAO,S / 29,M / 30,L / 31,XL / 32,XXL / 34,TỔNG SL THỰC NHẬN,NGÀY THỰC NHẬN,GHI CHÚ ĐƠN HÀNG,Quý,Nhà Máy,Tháng,Tuần,Giá,Giá trị nhập thực tế,,Nháp số Inbound
66_PO166_TRẮNG,BASIC DIAMOND,LẦN 1,,122,167,98,64,451,02/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 1,127.440,57.475.440,,
65_PO166_ĐEN,BASIC DIAMOND,LẦN 1,,82,169,79,61,391,02/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 1,127.440,49.829.040,,
44_PO99_BE,SHORT KAKI,LẦN 1,,200,300,300,,800,03/03/2026,,Quý 1,LC, Tháng 3,Tuần 1,112.000,89.600.000,,
45_PO99_BE ĐẬM,SHORT KAKI,LẦN 1,,174,238,197,,609,03/03/2026,,Quý 1,LC, Tháng 3,Tuần 1,112.000,68.208.000,,
46_PO99_NÂU,SHORT KAKI,LẦN 1,,113,125,127,,365,03/03/2026,HOÀN THÀNH,Quý 1,LC, Tháng 3,Tuần 1,112.000,40.880.000,,
64_PO216_XANH NHẠT,JEAN STRAIGHT,LẦN 1,234,504,512,501,237,1.988,03/03/2026,,Quý 1,LC, Tháng 3,Tuần 1,180.000,357.840.000,,
36_PO98_NAVY,TRAVIS,LẦN 1,,138,150,146,,434,03/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 1,124.200,53.902.800,,
68_PO276_BE NHẠT,CLASSIC DIAMOND V2,LẦN 1,,199,371,164,112,846,03/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 1,124.200,105.073.200,,
47_PO260_KEM,IRISH PMD35 ,LẦN 1,,201,189,150,109,649,04/03/2026,,Quý 1,AT, Tháng 3,Tuần 1,139.320,90.418.680,,
63_PO166_NAVY,BASIC DIAMOND,LẦN 1,,254,256,198,107,815,04/03/2026,,Quý 1,AT, Tháng 3,Tuần 1,127.440,103.863.600,,
61_PO88_NAVY,BASIC SYMBOL,LẦN 1,,206,,201,,407,09/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,112.860,45.934.020,,
59_PO88_CAFE,BASIC SYMBOL,LẦN 1,,249,244,202,101,796,09/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,112.860,89.836.560,,
9_PO166_TRẮNG KEM,BASIC DIAMOND,LẦN 1,,290,290,234,144,958,10/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 2,127.440,122.087.520,,
10_PO166_BE ,BASIC DIAMOND,LẦN 1,,86,82,209,129,506,10/03/2026,,Quý 1,AT, Tháng 3,Tuần 2,127.440,64.484.640,,
12_PO166_XANH DENIM,BASIC DIAMOND,LẦN 1,,156,158,131,92,537,10/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 2,127.440,68.435.280,,
28_PO253_ĐEN 84,ASTON PMD31,LẦN 1,122,244,183,56,,605,10/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,201.528,121.924.440,,
42_PO202_KEM NHẠT,NIVIX,LẦN 1,,80,80,84,26,270,10/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,131.868,35.604.360,,
60_PO88_ĐEN,BASIC SYMBOL,LẦN 1,,402,504,392,202,1.500,10/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,112.860,169.290.000,,
13_PO166_XANH MINT,BASIC DIAMOND,LẦN 1,,167,169,148,95,579,11/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 2,127.440,73.787.760,,
19_PO88_ĐỎ NÂU,BASIC SYMBOL,LẦN 1,,225,229,198,158,810,12/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,112.860,91.416.600,,
4_PO88_KHAKI NEW,BASIC SYMBOL,LẦN 1,,196,197,155,151,699,12/03/2026,HOÀN THÀNH,Quý 1,TLN, Tháng 3,Tuần 2,112.860,78.889.140,,
10_PO166_BE ,BASIC DIAMOND,LẦN 2,,206,210,36,16,468,12/03/2026,,Quý 1,AT, Tháng 3,Tuần 2,127.440,59.641.920,,
37_PO230_NAVY,MAVEN,LẦN 1,,172,172,150,93,587,12/03/2026,,Quý 1,AT, Tháng 3,Tuần 2,137.160,80.512.920,,
70_VO5_ĐEN,VỚ LOGO,LẦN 1,,1081,,,,1.081,13/03/2026,,Quý 1,TT, Tháng 3,Tuần 2,15.660,16.928.460,,
71_VO5_TRẮNG,VỚ LOGO,LẦN 1,,1010,,,,1.010,13/03/2026,,Quý 1,TT, Tháng 3,Tuần 2,15.660,15.816.600,,
3_PO88_KEM VÀNG NEW,BASIC SYMBOL,LẦN 1,,162,254,177,72,665,13/03/2026,HOÀN THÀNH,Quý 1,TLN, Tháng 3,Tuần 2,112.860,75.051.900,,
43_PO105_TRẮNG,ADEN,LẦN 1,,296,147,147,,590,13/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,127.656,75.317.040,,
29_PO119_TRẮNG,CLASSIC,LẦN 1,,149,166,99,75,489,17/03/2026,,Quý 1,AT, Tháng 3,Tuần 3,124.200,60.733.800,,
62_PO119_ĐEN,CLASSIC,LẦN 1,,169,197,112,97,575,17/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 3,124.200,71.415.000,,
11_PO166_XANH KHÓI,BASIC DIAMOND,LẦN 1,,160,163,144,96,563,20/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 3,127.440,71.748.720,,
31_PO119_XÁM NHẠT,CLASSIC,LẦN 1,,139,154,91,70,454,18/3/2026,,Quý 1,AT, Tháng 3,Tuần 3,124.200,56.386.800,,
32_PO119_KEM NHẠT,CLASSIC,LẦN 1,,145,173,95,74,487,18/03/2026,,Quý 1,AT, Tháng 3,Tuần 3,124.200,60.485.400,,
41_PO119_XÁM ĐẬM ,CLASSIC,LẦN 1,,248,250,197,97,792,20/03/2026,,Quý 1,AT, Tháng 3,Tuần 3,124.200,98.366.400,,
20_PO88_XÁM ĐẬM NEW,BASIC SYMBOL,LẦN 1,,230,232,204,151,817,19/03/2026,,Quý 1,TLN, Tháng 3,Tuần 3,112.860,92.206.620,,
21_PO88_NÂU NHẠT,BASIC SYMBOL,LẦN 1,,207,213,204,143,767,19/03/2026,HOÀN THÀNH,Quý 1,TLN, Tháng 3,Tuần 3,112.860,86.563.620,,
22_PO88_BE HỒNG,BASIC SYMBOL,LẦN 1,,215,211,182,143,751,20/03/2026,HOÀN THÀNH,Quý 1,TLN, Tháng 3,Tuần 3,112.860,84.757.860,,
38_PO210_CAFE,ZYBER,LẦN 1,,120,141,123,46,430,23/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 4,145.800,62.694.000,,
39_PO210_BE NHẠT,ZYBER,LẦN 1,,175,260,176,86,697,24/3/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 4,145.800,101.622.600,,
35_PO210_ĐEN,ZYBER,LẦN 1,,116,117,76,97,406,24/3/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 4,145.800,59.194.800,,
31_PO119_XÁM NHẠT,CLASSIC,LẦN 2,,10,14,6,4,34,24/3/2026,,Quý 1,AT, Tháng 3,Tuần 4,124.200,4.222.800,,
42_PO202_KEM NHẠT,NIVIX,LẦN 2,,70,116,59,70,315,24/03/2026,,Quý 1,TLN, Tháng 3,Tuần 4,131.868,41.538.420,,
51_PO88_KEM NHẠT,BASIC SYMBOL,LẦN 1,,177,200,152,78,607,24/03/2026,,Quý 1,TLN, Tháng 3,Tuần 4,112.860,68.506.020,,
34_PO215_NAVY,CLASSIC DIAMOND,LẦN 1,,50,240,120,90,500,25/03/2026,,Quý 1,AN, Tháng 3,Tuần 4,117.000,58.500.000,,
52_PO88_NAVY,BASIC SYMBOL,LẦN 1,,176,200,150,73,599,25/03/2026,,Quý 1,TLN, Tháng 3,Tuần 4,112.860,67.603.140,,
5_PO88_BE NHẠT,BASIC SYMBOL,LẦN 1,,217,204,178,124,723,27/03/2026,,Quý 1,TLN, Tháng 3,Tuần 4,112.860,81.597.780,,
6_PO88_ĐẤT,BASIC SYMBOL,LẦN 1,,216,210,168,72,666,27/03/2026,HOÀN THÀNH,Quý 1,TLN, Tháng 3,Tuần 4,112.860,75.164.760,,
249_PO88_TRẮNG,BASIC SYMBOL,LẦN 1,,284,268,,,552,27/03/2026,,Quý 1,TLN, Tháng 3,Tuần 4,112.860,62.298.720,,
84_PO99_ĐEN,SHORT KAKI,LẦN 1,130,310,220,230,,890,28/03/2026,,Quý 1,LC, Tháng 3,Tuần 4,112.000,99.680.000,,
85_PO126_NÂU,KAKI SD,LẦN 1,60,120,169,100,50,499,28/03/2026,,Quý 1,LC, Tháng 3,Tuần 4,123.000,61.377.000,,
86_PO86_ĐEN,QUẦN TÂY LƯNG CHUN,LẦN 1,25,186,183,132,27,553,28/03/2026,,Quý 1,LC, Tháng 3,Tuần 4,153.000,84.609.000,,
50_PO88_ĐEN,BASIC SYMBOL,LẦN 1,,294,293,191,150,928,31/03/2026,HOÀN THÀNH,Quý 1,TLN, Tháng 3,Tuần 5,112.860,104.734.080,,
21_PO88_NÂU NHẠT,BASIC SYMBOL,LẦN 2,,,15,,1,16,31/03/2026,,Quý 1,TLN, Tháng 3,Tuần 5,112.860,1.805.760,,
5_PO88_BE NHẠT,BASIC SYMBOL,LẦN 2,,2,,,56,58,03/04/2026,,Quý 1,TLN, Tháng 4,Tuần 1,112.860,6.545.880,,giao 3/4 lấy số lượng vào tháng 31/3
49_PO88_TRẮNG,BASIC SYMBOL,LẦN 1,,7,20,149,264,440,01/04/2026,,Quý 1,TLN, Tháng 4,Tuần 1,112.860,49.658.400,,
57_PO201_TRẮNG,JAY,LẦN 1,,201,302,199,101,803,01/04/2026,,Quý 1,TLN, Tháng 4,Tuần 1,121.284,97.391.052,,
58_PO201_NAVY,JAY,LẦN 1,,200,300,197,100,797,02/04/2026,,Quý 1,TLN, Tháng 4,Tuần 1,121.284,96.663.348,,
69_PO215_NAVY,CLASSIC DIAMOND,LẦN 1,,243,97,85,61,486,01/04/2026,,Quý 1,AN, Tháng 4,Tuần 1,117.000,56.862.000,,
241_VO5_TRẮNG,VỚ LOGO,LẦN 1,480,,,,,480,02/04/2026,,Quý 1,HN KNIT, Tháng 4,Tuần 1,11.000,5.280.000,,
242_VO5_ĐEN,VỚ LOGO,LẦN 1,480,,,,,480,02/04/2026,,Quý 1,HN KNIT, Tháng 4,Tuần 1,11.000,5.280.000,,
102_PO216_XANH NHẠT,JEAN STRAIGHT,LẦN 1,54,63,71,66,33,287,03/04/2026,,Quý 1,LC, Tháng 4,Tuần 1,180.000,51.660.000,,
72_PO301_TRẮNG,NORF,LẦN 1,,77,160,55,31,323,03/04/2026,,Quý 1,TLN, Tháng 4,Tuần 1,135.000,43.605.000,,
78_PO98_CAFE,TRAVIS,LẦN 1,,50,160,150,70,430,04/04/2026,,Quý 1,AT, Tháng 4,Tuần 1,125.280,53.870.400,,
78_PO98_CAFE,TRAVIS,LẦN 2,,196,86,36,24,342,06/04/2026,HOÀN THÀNH,Quý 1,AT, Tháng 4,Tuần 2,125.280,42.845.760,,
72_PO301_TRẮNG,NORF,LẦN 2,,137,70,141,115,463,06/04/2026,,Quý 1,TLN, Tháng 4,Tuần 2,135.000,62.505.000,,
241_VO5_TRẮNG,VỚ LOGO,LẦN 2,1520,,,,,1.520,07/04/2026,,Quý 1,HN KNIT, Tháng 4,Tuần 2,11.000,16.720.000,,
242_VO5_ĐEN,VỚ LOGO,LẦN 2,1495,,,,,1.495,07/04/2026,,Quý 1,HN KNIT, Tháng 4,Tuần 2,11.000,16.445.000,,
99_PO126_ĐEN,KAKI SD,LẦN 1,51,245,288,211,58,853,08/04/2026,,Quý 1,LC, Tháng 4,Tuần 2,123.000,104.919.000,,
100_PO126_BE,KAKI SD,LẦN 1,,179,104,127,50,460,08/04/2026,,Quý 1,LC, Tháng 4,Tuần 2,123.000,56.580.000,,
97_PO99_ĐEN,SHORT KAKI,LẦN 1,,340,360,100,,800,10/04/2026,,Quý 1,LC, Tháng 4,Tuần 2,112.000,89.600.000,,
98_PO99_TRẮNG,SHORT KAKI,LẦN 1,88,210,238,170,,706,10/04/2026,HOÀN THÀNH,Quý 1,LC, Tháng 4,Tuần 2,112.000,79.072.000,,
77_PO303_NAVY,LINE,LẦN 1,,129,121,139,89,478,11/04/2026,,Quý 1,AT, Tháng 4,Tuần 2,139.320,66.594.960,,
77_PO303_NAVY,LINE,LẦN 2,,129,141,49,1,320,13/04/2026,,Quý 1,AT, Tháng 4,Tuần 3,139.320,44.582.400,,
53_PO88_TRẮNG,BASIC SYMBOL,LẦN 1,,398,597,,,995,14/04/2026,,Quý 1,TLN, Tháng 4,Tuần 3,112.860,112.295.700,,
54_PO88_ĐEN,BASIC SYMBOL,LẦN 1,,150,147,151,74,522,14/04/2026,,Quý 1,TLN, Tháng 4,Tuần 3,112.860,58.912.920,,
90_PO276_ĐỎ NÂU,CLASSIC DIAMOND V2,LẦN 1,,167,240,164,78,649,15/04/2026,HOÀN THÀNH,Quý 1,AT, Tháng 4,Tuần 3,128.520,83.409.480,,
55_PO88_KEM NHẠT,BASIC SYMBOL,LẦN 1,,262,536,,,798,16/4/2026,,Quý 1,TLN, Tháng 4,Tuần 3,112.860,90.062.280,,
30_PO119_ĐEN,CLASSIC,LẦN 1,,149,176,101,75,501,17/04/2026,,Quý 1,AT, Tháng 4,Tuần 3,124.200,62.224.200,,
94_PO226_BE ĐẬM,WICK,LẦN 1,,201,299,196,96,792,17/04/2026,,Quý 1,TLN, Tháng 4,Tuần 3,126.576,100.248.192,,
95_PO201_KEM NHẠT,JAY,LẦN 1,,151,175,87,,413,17/04/2026,HOÀN THÀNH,Quý 1,TLN, Tháng 4,Tuần 3,121.284,50.090.292,,
91_PO88_BE,BASIC SYMBOL,LẦN 1,,193,297,197,99,786,20/04/2026,,Quý 1,TLN, Tháng 4,Tuần 4,112.860,88.707.960,,
74_PO98_NAVY,TRAVIS,LẦN 1,,151,151,114,75,491,21/04/2026,,Quý 1,AT, Tháng 4,Tuần 4,124.200,60.982.200,,
56_PO88_NAVY,BASIC SYMBOL,LẦN 1,,147,449,100,100,796,22/04/2026,,Quý 1,TLN, Tháng 4,Tuần 4,112.860,89.836.560,,
101_PO126_NÂU,KAKI SD,LẦN 1,59,329,268,190,103,949,22/04/2026,,Quý 1,LC, Tháng 4,Tuần 4,123.000,116.727.000,,
103_PO86_BE,QUẦN TÂY LƯNG CHUN,LẦN 1,44,188,196,101,31,560,22/04/2026,,Quý 1,LC, Tháng 4,Tuần 4,153.000,85.680.000,,
104_PO99_BE ĐẬM,SHORT KAKI,LẦN 1,50,169,201,180,,600,22/04/2026,,Quý 1,LC, Tháng 4,Tuần 4,123.120,73.872.000,,
"105_PO86_ĐEN
",QUẦN TÂY LƯNG CHUN,LẦN 1,62,236,249,126,66,739,22/04/2026,,Quý 1,LC, Tháng 4,Tuần 4,168.480,124.506.720,,
116_PO258_ĐEN 147,Sơ mi POPLIN,LẦN 1,,174,190,159,78,601,24/04/2026,,Quý 1,GLX, Tháng 4,Tuần 4,149.580,89.897.580,,
106_PO249_BE,KAKI STRAIGHT,LẦN 1,42,120,127,126,46,461,28/04/2026,HOÀN THÀNH,Quý 1,LC, Tháng 4,Tuần 5,194.400,89.618.400,,
107_PO249_ĐEN,KAKI STRAIGHT,LẦN 1,39,121,136,122,40,458,28/04/2026,HOÀN THÀNH,Quý 1,LC, Tháng 4,Tuần 5,194.400,89.035.200,,
108_PO249_NÂU,KAKI STRAIGHT,LẦN 1,48,140,149,140,48,525,28/04/2026,,Quý 1,LC, Tháng 4,Tuần 5,194.400,102.060.000,,
110_PO252_TRẮNG 02,Sơ mi OXFORD PREMIUM,LẦN 1,,50,30,,,80,27/04/2026,,Quý 1,GLX, Tháng 4,Tuần 5,150.120,12.009.600,,
112_PO252_XANH NHẠT 07,Sơ mi OXFORD PREMIUM,LẦN 1,,70,60,60,30,220,27/04/2026,,Quý 1,GLX, Tháng 4,Tuần 5,150.120,33.026.400,,
113_PO252_BE,Sơ mi OXFORD PREMIUM,LẦN 1,,70,90,90,,250,27/04/2026,,Quý 1,GLX, Tháng 4,Tuần 5,150.120,37.530.000,,
110_PO252_TRẮNG 02,Sơ mi OXFORD PREMIUM,LẦN 2,,160,130,,,290,28/04/2026,,Quý 1,GLX, Tháng 4,Tuần 5,150.120,43.534.800,,
112_PO252_XANH NHẠT 07,Sơ mi OXFORD PREMIUM,LẦN 2,,169,188,150,,507,28/04/2026,,Quý 1,GLX, Tháng 4,Tuần 5,150.120,76.110.840,,
113_PO252_BE,Sơ mi OXFORD PREMIUM,LẦN 2,,50,60,80,30,220,28/04/2026,,Quý 1,GLX, Tháng 4,Tuần 5,150.120,33.026.400,,
110_PO252_TRẮNG 02,Sơ mi OXFORD PREMIUM,LẦN 3,,129,296,,,425,29/04/2026,,Quý 1,GLX, Tháng 4,Tuần 5,150.120,63.801.000,,
112_PO252_XANH NHẠT 07,Sơ mi OXFORD PREMIUM,LẦN 3,,1,2,,,3,29/04/2026,,Quý 1,GLX, Tháng 4,Tuần 5,150.120,450.360,,
113_PO252_BE,Sơ mi OXFORD PREMIUM,LẦN 3,,81,98,103,38,320,29/04/2026,,Quý 1,GLX, Tháng 4,Tuần 5,150.120,48.038.400,,
95_PO201_KEM NHẠT,JAY,LẦN 2,,,1,,,1,29/04/2026,,Quý 1,TLN, Tháng 4,Tuần 5,121.284,121.284,,
91_PO88_BE,BASIC SYMBOL,LẦN 2,,,,1,,1,29/04/2026,,Quý 1,TLN, Tháng 4,Tuần 5,112.860,112.860,,
94_PO226_BE ĐẬM,WICK,LẦN 2,,,,,1,1,29/04/2026,,Quý 1,TLN, Tháng 4,Tuần 5,126.576,126.576,,
72_PO301_TRẮNG,NORF,LẦN 3,,3,2,6,2,13,29/04/2026,,Quý 1,TLN, Tháng 4,Tuần 5,135.000,1.755.000,,
122_PO166_KEM,BASIC DIAMOND,LẦN 1,,219,220,201,100,740,29/04/2026,HOÀN THÀNH,Quý 1,AT, Tháng 4,Tuần 5,128.520,95.104.800,,
136_PO166_RÊU,BASIC DIAMOND,LẦN 1,,251,264,180,96,791,02/05/2026,,Quý 2,TLN, Tháng 5,Tuần 1,126.144,99.779.904,,